Word,NER
Turkey,B-LOC
Iraq,B-LOC
Kurdish,B-MISC
U S  led,B-MISC
Turkey,B-LOC
Iraqi,B-MISC
Kurds,I-MISC
Baghdad,B-LOC
Saudi,B-MISC
MANAMA,B-LOC
Saudi,B-MISC
Saudi,B-MISC
One month,B-MISC
One year,B-MISC
Israel,B-LOC
Arafat,B-PER
West,B-LOC
Bank,I-LOC
JERUSALEM,B-LOC
Israel,B-LOC
Palestinian,B-MISC
Yasser,B-PER
Arafat,I-PER
West,B-LOC
Bank,I-LOC
Israeli PLO,B-MISC
Arafat,B-PER
Israeli,B-MISC
West,B-LOC
Bank,I-LOC
Nabil,B-PER
Abu,I-PER
Rdainah,I-PER
Reuters,B-ORG
Arafat,B-PER
Israeli,B-MISC
Shimon,B-PER
Peres,I-PER
West,B-LOC
Bank,I-LOC
Ramallah,B-LOC
Gaza,B-LOC
Israel,B-LOC
Palestinian,B-MISC
Palestinian,B-MISC
Benjamin,B-PER
Netanyahu,I-PER
Ramallah,B-LOC
Arafat,B-PER
Arafat,B-PER
Israeli,B-MISC
PLO,B-ORG
Allenby,B-LOC
Bridge,I-LOC
Jordan,B-LOC
West,B-LOC
Bank,I-LOC
Abu,B-PER
Rdainah,I-PER
Arafat,B-PER
West,B-LOC
Bank,I-LOC
Israel,B-LOC
Gaza,B-LOC
Arafat,B-PER
Peres,B-PER
Gaza,B-LOC
JERUSALEM,B-LOC
Yasser,B-PER
Arafat,I-PER
Shimon,B-PER
Peres,I-PER
Gaza,B-LOC
Palestinians,B-MISC
Israeli,B-MISC
Palestinian,B-MISC
West,B-LOC
Bank,I-LOC
Peres,B-PER
Arafat,B-PER
Erez,B-LOC
Gaza,B-LOC
Ramallah,B-LOC
Peres,B-PER
Palestinian,B-MISC
Israeli,B-MISC
Arafat,B-PER
Israel,B-LOC
Palestinian,B-MISC
West,B-LOC
Bank,I-LOC
Peres,B-PER
Israeli,B-MISC
Benjamin,B-PER
Netanyahu,I-PER
Peres,B-PER
Likud,B-ORG
Afghan,B-MISC
UAE,B-LOC
Taleban,B-MISC
Hilary,B-PER
Gush,I-PER
DUBAI,B-LOC
Afghan,B-MISC
United,B-LOC
Arab,I-LOC
Emirates,I-LOC
Russian,B-MISC
Taleban,B-MISC
Afghanistan,B-LOC
Afghan,B-MISC
Abu,B-LOC
Dhabi,I-LOC
UAE,B-LOC
Afghanistan,B-LOC
Islamic,B-MISC
Taleban,I-MISC
Russian,B-MISC
UAE,B-LOC
Sharjah,B-LOC
Taleban,B-MISC
Kandahar,B-LOC
Afghanistan,B-LOC
UAE,B-LOC
International,B-ORG
Red,I-ORG
Crescent,I-ORG
Kandahar,B-LOC
Afghan,B-MISC
Kabul,B-LOC
Kandahar,B-LOC
Kandahar,B-LOC
Taleban,B-MISC
Kabul,B-LOC
Burhanuddin,B-PER
Rabbani,I-PER
Taleban,B-MISC
Abu,B-LOC
Dhabi,I-LOC
Russians,B-MISC
Aerostan,B-ORG
Russian,B-MISC
Tatarstan,B-LOC
Taleban,B-MISC
MiG 19,B-MISC
Taleban,B-MISC
Albania,B-LOC
Russian,B-MISC
Rabbani,B-PER
Moscow,B-LOC
Russians,B-MISC
Kalashnikov,B-MISC
Ilyushin,B-MISC
UAE,B-LOC
Abu,B-LOC
Dhabi,I-LOC
Iraq,B-LOC
Saddam,B-PER
Russia,B-LOC
Zhirinovsky,B-PER
BAGHDAD,B-LOC
Iraqi,B-MISC
Saddam,B-PER
Hussein,I-PER
Russian,B-MISC
Vladimir,B-PER
Zhirinovsky,I-PER
Baghdad,B-LOC
Moscow,B-LOC
Iraqi,B-MISC
Saddam,B-PER
Hussein,I-PER
Iraq,B-LOC
Russia,B-LOC
Zhirinovsky,B-PER
Saddam,B-PER
Baghdad,B-LOC
Liberal,B-ORG
Democratic,I-ORG
party,I-ORG
Russian,B-MISC
Duma,B-ORG
Iraq,B-LOC
Kuwait,B-LOC
Zhirinovsky,B-PER
Russian,B-MISC
U N ,B-ORG
Iraq,B-LOC
Moscow,B-LOC
Baghdad,B-LOC
Russian,B-MISC
Iraq,B-LOC
Russia,B-LOC
Iraq,B-LOC
Zhirinovsky,B-PER
Iraq,B-LOC
Iraq,B-LOC
Saddam,B-PER
Iraq,B-LOC
BAGHDAD,B-LOC
Iraqi,B-MISC
Reuters,B-ORG
THAWRA,B-ORG
Iraq,B-LOC
Saddam,B-PER
Hussein,I-PER
Russian,B-MISC
Vladimir,B-PER
Zhirinovsky,I-PER
Turkish,B-MISC
Turkey,B-LOC
Baghdad,B-LOC
IRAQ,B-LOC
Umm,B-LOC
Qasr,I-LOC
Gulf,B-LOC
Lebanon,B-LOC
BEIRUT,B-LOC
Beirut,B-LOC
Reuters,B-ORG
AN NAHAR,B-ORG
Hizbollah,B-ORG
Hariri,B-PER
Israeli,B-MISC
AS SAFIR,B-ORG
Berri,B-PER
Israel,B-LOC
Syria,B-LOC
Lebanon,B-LOC
Beirut,B-LOC
AL ANWAR,B-ORG
Mount,B-LOC
Lebanon,I-LOC
AD DIYAR,B-ORG
Lebanon,B-LOC
Pakistan,B-LOC
Hariri,B-PER
NIDA A,B-ORG
AL WATAN,I-ORG
Maronite,B-ORG
Sfeir,B-PER
CME,B-ORG
CHICAGO,B-LOC
CME,B-ORG
MONTGOMERY,B-LOC
Ala,B-LOC
KinderCare,B-ORG
Learning,I-ORG
Centers,I-ORG
Inc,I-ORG
Philip,B-PER
Maslowe,I-PER
Lehman,B-ORG
SNET,B-ORG
Lehman,B-ORG
Blake,B-PER
Bath,I-PER
Southern,B-ORG
New,I-ORG
England,I-ORG
Telecommunciations,I-ORG
Corp,I-ORG
Southern,B-ORG
New,I-ORG
England,I-ORG
E ,B-PER
Auchard,I-PER
Wall,B-ORG
Street,I-ORG
bureau,I-ORG
Gateway,B-ORG
Data,I-ORG
Sciences,I-ORG
PHOENIX,B-LOC
Consolidated,B-ORG
Financial,I-ORG
Data,I-ORG
Greek,B-MISC
ATHENS,B-LOC
Greek,B-MISC
Costas,B-PER
Simitis,I-PER
Costas,B-PER
Skandalidis,I-PER
Costas,B-PER
Simitis,I-PER
Skandalidis,B-PER
Dimitris,B-PER
Kontogiannis,I-PER
Athens,B-ORG
Newsroom,I-ORG
France,B-LOC
Le,B-ORG
Monde,I-ORG
PARIS,B-LOC
Le,B-ORG
Monde,I-ORG
Africans,B-MISC
Alain,B-PER
Juppe,I-PER
Paris,B-LOC
FLNC,B-ORG
Corsican,B-MISC
Bally,B-ORG
French,B-MISC
French,B-MISC
Sud PTT,B-MISC
France,B-ORG
Telecom,I-ORG
Paris,B-ORG
Newsroom,I-ORG
Heidrun,B-LOC
Statoil,B-ORG
OSLO,B-LOC
Heidrun,B-LOC
mid Norway,B-MISC
Den,B-ORG
Norske,I-ORG
Stats,I-ORG
Oljeselskap,I-ORG
AS,I-ORG
Statoil,B-ORG
Heidrun,B-LOC
Status,B-ORG
Weekly,I-ORG
Oslo,B-LOC
Finnish,B-MISC
NCB,B-ORG
HELSINKI,B-LOC
Finland,B-LOC
National,B-ORG
Customs,I-ORG
Board,I-ORG
NCB,B-ORG
NCB,B-ORG
Bank,B-ORG
Finland,I-ORG
NCB,B-ORG
Finland,B-LOC
European,B-ORG
Union,I-ORG
Helsinki,B-ORG
Newsroom,I-ORG
Dutch,B-MISC
AMSTERDAM,B-LOC
Finance,B-ORG
Ministry,I-ORG
Dutch,B-MISC
GMT,B-MISC
GMT,B-MISC
Amsterdam,B-LOC
German,B-MISC
British,B-MISC
BONN,B-LOC
Germany,B-LOC
Agriculture,B-ORG
Ministry,I-ORG
British,B-MISC
European,B-ORG
Union,I-ORG
Werner,B-PER
Zwingmann,I-PER
ZDF,B-ORG
Bonn,B-LOC
Britain,B-LOC
European,B-ORG
Commission,I-ORG
EU,B-ORG
EU,B-ORG
Franz,B-PER
Fischler,I-PER
Britain,B-LOC
France,B-LOC
Bovine,B-MISC
Spongiform,I-MISC
Encephalopathy,I-MISC
BSE,B-MISC
EU,B-ORG
EU,B-ORG
BSE,B-MISC
British,B-MISC
ZDF,B-ORG
Germany,B-LOC
Britain,B-LOC
British,B-MISC
British,B-MISC
EU,B-ORG
British,B-MISC
EU,B-ORG
Britain,B-LOC
WORLD,B-MISC
SERIES,I-MISC
OF,I-MISC
GOLF,I-MISC
AKRON,B-LOC
Ohio,B-LOC
NEC,B-MISC
World,I-MISC
Series,I-MISC
Golf,I-MISC
Firestone,B-LOC
C C,I-LOC
U S ,B-LOC
Paul,B-PER
Goydos,I-PER
Billy,B-PER
Mayfair,I-PER
Hidemichi,B-PER
Tanaka,I-PER
Japan,B-LOC
Steve,B-PER
Stricker,I-PER
Justin,B-PER
Leonard,I-PER
Mark,B-PER
Brooks,I-PER
Tim,B-PER
Herron,I-PER
Duffy,B-PER
Waldorf,I-PER
Davis,B-PER
Love,I-PER
Anders,B-PER
Forsbrand,I-PER
Sweden,B-LOC
Nick,B-PER
Faldo,I-PER
Britain,B-LOC
John,B-PER
Cook,I-PER
Steve,B-PER
Jones,I-PER
Phil,B-PER
Mickelson,B-PER
Greg,B-PER
Norman,I-PER
Australia,B-LOC
Ernie,B-PER
Els,I-PER
South,B-LOC
Africa,I-LOC
Scott,B-PER
Hoch,I-PER
Clarence,B-PER
Rose,I-PER
Loren,B-PER
Roberts,I-PER
Fred,B-PER
Funk,I-PER
Sven,B-PER
Struver,I-PER
Germany,B-LOC
Alexander,B-PER
Cejka,I-PER
Germany,B-LOC
Hal,B-PER
Sutton,I-PER
Tom,B-PER
Lehman,I-PER
D A ,B-PER
Weibring,I-PER
Brad,B-PER
Bryant,I-PER
Craig,B-PER
Parry,I-PER
Australia,B-LOC
Stewart,B-PER
Ginn,I-PER
Australia,B-LOC
Corey,B-PER
Pavin,I-PER
Craig,B-PER
Stadler,I-PER
Mark,B-PER
O Meara,B-PER
Fred,B-PER
Couples,I-PER
Paul,B-PER
Stankowski,I-PER
Costantino,B-PER
Rocca,I-PER
Italy,B-LOC
Jim,B-PER
Furyk,I-PER
Satoshi,B-PER
Higashi,I-PER
Japan,B-LOC
Willie,B-PER
Wood,I-PER
Shigeki,B-PER
Maruyama,B-PER
Japan,B-LOC
Scott,B-PER
McCarron,I-PER
Wayne,B-PER
Westner,I-PER
South,B-LOC
Africa,I-LOC
Steve,B-PER
Schneiter,I-PER
Tom,B-PER
Watson,I-PER
Seiki,B-PER
Okuda,I-PER
Japan,B-LOC
GLORIA,B-ORG
BISTRITA,I-ORG
F C ,B-ORG
VALLETTA,I-ORG
BISTRITA,B-LOC
Gloria,B-ORG
Bistrita,I-ORG
Romania,B-LOC
F C ,B-ORG
Valletta,I-ORG
Malta,B-LOC
Cup,B-MISC
winners,I-MISC
Cup,I-MISC
Gloria,B-ORG
Bistrita,I-ORG
Ilie,B-PER
Lazar,I-PER
Eugen,B-PER
Voica,I-PER
F C ,B-ORG
La,I-ORG
Valletta,I-ORG
Gilbert,B-PER
Agius,I-PER
Gloria,B-ORG
Bistrita,I-ORG
Cup,B-MISC
winners,I-MISC
Cup,I-MISC
REUTER,B-PER
PIVOTAL,B-PER
PRESCOTT,B-PER
YORK,B-LOC
England,B-LOC
Mark,B-PER
Prescott,I-PER
Pivotal,B-PER
Nunthorpe,B-MISC
Stakes,I-MISC
George,B-PER
Duffield,I-PER
Eveningperformance,B-PER
Henry,B-PER
Candy,I-PER
Chris,B-PER
Rutter,I-PER
Hever,B-PER
Golf,I-PER
Rose,I-PER
Prix,B-MISC
de,I-MISC
l,I-MISC
Abbaye,I-MISC
Longchamp,B-LOC
Mind,B-PER
Games,I-PER
Pivotal,B-PER
Royal,B-PER
Ascot,I-PER
Abbaye,B-MISC
Europe,B-LOC
Prescott,B-PER
Henry,B-PER
Candy,I-PER
Prescott,B-PER
Jack,B-PER
Berry,I-PER
Mind,B-PER
Games,I-PER
Berry,B-PER
Mind,B-PER
Games,I-PER
YORK,B-LOC
England,B-LOC
Nunthorpe,B-MISC
Stakes,I-MISC
Pivotal,B-PER
George,B-PER
Duffield,I-PER
Eveningperformance,B-PER
Chris,B-PER
Rutter,I-PER
Hever,B-PER
Golf,I-PER
Rose,I-PER
Jason,B-PER
Weaver,I-PER
Mind,B-PER
Games,I-PER
Cheveley,B-ORG
Park,I-ORG
Stud,I-ORG
Mark,B-PER
Prescott,I-PER
Newmarket,B-LOC
TOSHIBA,B-MISC
CLASSIC,I-MISC
CARLSBAD,B-LOC
California,B-LOC
Toshiba,B-MISC
Classic,I-MISC
Arantxa,B-PER
Sanchez,I-PER
Vicario,I-PER
Spain,B-LOC
Naoko,B-PER
Kijimuta,I-PER
Japan,B-LOC
Kimiko,B-PER
Date,I-PER
Japan,B-LOC
Yone,B-PER
Kamio,I-PER
Japan,B-LOC
Sandrine,B-PER
Testud,I-PER
France,B-LOC
Ai,B-PER
Sugiyama,I-PER
Japan,B-LOC
Nathalie,B-PER
Tauziat,I-PER
France,B-LOC
Shi Ting,B-PER
Wang,I-PER
Taiwan,B-LOC
HAMLET,B-MISC
CUP,I-MISC
COMMACK,B-LOC
New,B-LOC
York,I-LOC
Waldbaum,B-MISC
Hamlet,I-MISC
Cup,I-MISC
Michael,B-PER
Chang,I-PER
U S ,B-LOC
Sergi,B-PER
Bruguera,I-PER
Spain,B-LOC
Michael,B-PER
Joyce,I-PER
U S ,B-LOC
Richey,B-PER
Reneberg,I-PER
U S ,B-LOC
Martin,B-PER
Damm,I-PER
Czech,B-LOC
Republic,I-LOC
Younes,B-PER
El,I-PER
Aynaoui,I-PER
Morocco,B-LOC
Karol,B-PER
Kucera,I-PER
Slovakia,B-LOC
Hicham,B-PER
Arazi,I-PER
Morocco,B-LOC
DALGLISH,B-PER
BLACKBURN,B-ORG
LONDON,B-LOC
Kenny,B-PER
Dalglish,I-PER
Blackburn,B-ORG
English,B-MISC
Blackburn,B-ORG
Dalglish,B-PER
Blackburn,B-ORG
Spain,B-LOC
Dalglish,B-PER
Dalglish,B-PER
Blackburn,B-ORG
ENGLISH,B-MISC
COUNTY,I-MISC
CHAMPIONSHIP,I-MISC
LONDON,B-LOC
English,B-MISC
County,B-MISC
Championship,I-MISC
Weston super Mare,B-LOC
Durham,B-ORG
D ,B-PER
Cox,I-PER
S ,B-PER
Campbell,I-PER
G ,B-PER
Rose,I-PER
Somerset,B-ORG
M ,B-PER
Lathwell,I-PER
Colchester,B-LOC
Gloucestershire,B-ORG
J ,B-PER
Russell,I-PER
A ,B-PER
Symonds,I-PER
A ,B-PER
Cowan,I-PER
Essex,B-ORG
Cardiff,B-LOC
Kent,B-ORG
M ,B-PER
Walker,I-PER
D ,B-PER
Fulton,I-PER
Glamorgan,B-ORG
Leicester,B-LOC
Leicestershire,B-ORG
P ,B-PER
Simmons,I-PER
P ,B-PER
Nixon,I-PER
Hampshire,B-ORG
Northampton,B-LOC
Sussex,B-ORG
N ,B-PER
Lenham,I-PER
V ,B-PER
Drakes,I-PER
A ,B-PER
Wells,I-PER
Northamptonshire,B-ORG
Trent,B-LOC
Bridge,I-LOC
Nottinghamshire,B-ORG
G ,B-PER
Archer,I-PER
M ,B-PER
Dowman,I-PER
Surrey,B-ORG
Worcester,B-LOC
Warwickshire,B-ORG
A ,B-PER
Giles,I-PER
W ,B-PER
Khan,I-PER
Worcestershire,B-ORG
Headingley,B-LOC
Yorkshire,B-ORG
C ,B-PER
White,I-PER
M ,B-PER
Moxon,I-PER
M ,B-PER
Vaughan,I-PER
Lancashire,B-ORG
ENGLAND,B-LOC
PAKISTAN,B-LOC
LONDON,B-LOC
England,B-LOC
Pakistan,B-LOC
The,B-LOC
Oval,I-LOC
England,B-LOC
M ,B-PER
Atherton,I-PER
Waqar,B-PER
Younis,I-PER
A ,B-PER
Stewart,I-PER
Mushtaq,B-PER
Ahmed,I-PER
N ,B-PER
Hussain,I-PER
Saeed,B-PER
Anwar,I-PER
Waqar,B-PER
Younis,I-PER
G ,B-PER
Thorpe,I-PER
Mohammad,B-PER
Akram,I-PER
J ,B-PER
Crawley,I-PER
N ,B-PER
Knight,I-PER
Mushtaq,B-PER
Ahmed,I-PER
C ,B-PER
Lewis,I-PER
Wasim,B-PER
Akram,I-PER
I ,B-PER
Salisbury,I-PER
R ,B-PER
Croft,I-PER
D ,B-PER
Cork,I-PER
A ,B-PER
Mullally,I-PER
Wasim,B-PER
Akram,I-PER
Waqar,B-PER
Younis,I-PER
Mohammad,B-PER
Akram,I-PER
Mushtaq,B-PER
Ahmed,I-PER
Aamir,B-PER
Sohail,I-PER
Pakistan,B-LOC
Aamir,B-PER
Sohail,I-PER
Saeed,B-PER
Anwar,I-PER
Ijaz,B-PER
Ahmed,I-PER
Inzamam ul Haq,B-PER
Salim,B-PER
Malik,I-PER
Asif,B-PER
Mujtaba,I-PER
Wasim,B-PER
Akram,I-PER
Moin,B-PER
Khan,B-PER
Mushtaq,B-PER
Ahmed,I-PER
Waqar,B-PER
Younis,I-PER
Mohammad,B-PER
Akam,I-PER
FERGUSON,B-PER
SCOTTISH,B-MISC
GLASGOW,B-LOC
Everton,B-ORG
Duncan,B-PER
Ferguson,I-PER
Manchester,B-ORG
United,I-ORG
Scottish,B-MISC
Glasgow,B-ORG
Rangers,I-ORG
Ally,B-PER
McCoist,I-PER
World,B-MISC
Cup,I-MISC
Austria,B-LOC
Vienna,B-LOC
Ferguson,B-PER
Scotland,B-LOC
Scotland,B-LOC
Craig,B-PER
Brown,I-PER
Duncan,B-PER
Ferguson,I-PER
Ally,B-PER
McCoist,I-PER
Celtic,B-ORG
Jackie,B-PER
McNamara,I-PER
ENGLAND,B-LOC
LONDON,B-LOC
England,B-LOC
Pakistan,B-LOC
The,B-LOC
Oval,I-LOC
KEANE,B-PER
MANCHESTER,B-LOC
UNITED,I-LOC
LONDON,B-LOC
Ireland,B-LOC
Roy,B-PER
Keane,I-PER
English,B-MISC
F A ,B-MISC
Cup,I-MISC
Manchester,B-ORG
United,I-ORG
Roy,B-PER
Everton,B-ORG
United,B-ORG
Alex,B-PER
Ferguson,I-PER
CANADIAN,B-MISC
OPEN,I-MISC
TORONTO,B-LOC
Canadian,B-MISC
Open,I-MISC
Daniel,B-PER
Nestor,I-PER
Canada,B-LOC
Thomas,B-PER
Muster,I-PER
Austria,B-LOC
Mikael,B-PER
Tillstrom,I-PER
Sweden,B-LOC
Goran,B-PER
Ivanisevic,I-PER
Croatia,B-LOC
Wayne,B-PER
Ferreira,I-PER
South,B-LOC
Africa,I-LOC
Jiri,B-PER
Novak,I-PER
Czech,B-LOC
Republic,B-LOC
Marcelo,B-PER
Rios,I-PER
Chile,B-LOC
Kenneth,B-PER
Carlsen,I-PER
Denmark,B-LOC
MaliVai,B-PER
Washington,I-PER
U S ,B-LOC
Alex,B-PER
Corretja,I-PER
Spain,B-LOC
Todd,B-PER
Martin,I-PER
U S ,B-LOC
Renzo,B-PER
Furlan,I-PER
Italy,B-LOC
Mark,B-PER
Philippoussis,I-PER
Australia,B-LOC
Marc,B-PER
Rosset,I-PER
Switzerland,B-LOC
Cedric,B-PER
Pioline,I-PER
France,B-LOC
Gregory,B-PER
Carraz,I-PER
France,B-LOC
Patrick,B-PER
Rafter,I-PER
Australia,B-LOC
Alberto,B-PER
Berasategui,I-PER
Spain,B-LOC
Petr,B-PER
Korda,I-PER
Czech,B-LOC
Republic,I-LOC
Francisco,B-PER
Clavet,I-PER
Spain,B-LOC
Daniel,B-PER
Vacek,I-PER
Czech,B-LOC
Republic,I-LOC
Jason,B-PER
Stoltenberg,I-PER
Australia,B-LOC
Todd,B-PER
Woodbridge,I-PER
Australia,B-LOC
Sebastien,B-PER
Lareau,I-PER
Canada,B-LOC
Alex,B-PER
O Brien,I-PER
U S ,B-LOC
Byron,B-PER
Black,I-PER
Zimbabwe,B-LOC
Bohdan,B-PER
Ulihrach,I-PER
